calage,c14age,c14sig,tree
9110,8207.045968557584,18.552656679558098,Bristlecone Pine (USA)
9111,8221.902875029986,18.42507944537437,Bristlecone Pine (USA)
9112,8180.405193700071,18.75816534386152,Bristlecone Pine (USA)
9113,8179.470637513805,18.759340671968566,Bristlecone Pine (USA)
9114,8167.72980821767,18.189003730006334,Bristlecone Pine (USA)
9115,8159.492445069415,18.589749513140948,Bristlecone Pine (USA)
9117,8164.539176700154,18.393408916249584,Bristlecone Pine (USA)
9118,8184.638497179054,18.422635039305952,Bristlecone Pine (USA)
9119,8143.302198604237,13.978704731287594,Bristlecone Pine (USA)
9120,8145.253050506491,11.12406924804841,Bristlecone Pine (USA)
9121,8152.516569661299,11.153437359128482,Bristlecone Pine (USA)
9122,8117.624369822795,11.293678358171338,Bristlecone Pine (USA)
9123,8095.71876894034,11.09617003178263,Bristlecone Pine (USA)
9124,8125.348246089768,12.94033496784318,Bristlecone Pine (USA)
9125,8130.745466052708,18.288398291850598,Bristlecone Pine (USA)
9126,8212.269517415816,11.238987956228565,Bristlecone Pine (USA)
9127,8222.657211825128,18.25130031412578,Bristlecone Pine (USA)
9128,8247.40205808326,18.11410726135676,Bristlecone Pine (USA)
9129,8226.990275524213,18.340110721768283,Bristlecone Pine (USA)
9130,8263.846940414813,19.32372248222334,Bristlecone Pine (USA)
9132,8212.045051189772,18.780920227740086,Bristlecone Pine (USA)
9133,8213.095339712318,18.435096419718214,Bristlecone Pine (USA)
9134,8224.446327282623,14.212443474517165,Bristlecone Pine (USA)
9135,8250.64119757194,18.352578826021553,Bristlecone Pine (USA)
9136,8209.689430308337,18.784838586614068,Bristlecone Pine (USA)
9137,8254.936604839788,18.360587958795758,Bristlecone Pine (USA)
9138,8238.098326322375,18.675156077053735,Bristlecone Pine (USA)
9143,8244.972313999191,18.845076141754504,Bristlecone Pine (USA)
9144,8230.167460932946,18.243584222711497,Bristlecone Pine (USA)
9145,8226.387735443024,18.730690588716786,Bristlecone Pine (USA)
9146,8219.118696152553,18.505849432626295,Bristlecone Pine (USA)
9147,8233.369572551594,18.921766072571643,Bristlecone Pine (USA)
9148,8220.88430007912,18.403944343314546,Bristlecone Pine (USA)
9149,8251.718109538851,19.60200831151522,Bristlecone Pine (USA)
